date,IBM,GE,LLY,F,BAC,KR,ITUB,GG,SIRI,ACB,VALE,PFE,CTL,T,ECA,ABEV,CVS,MRVL,CSCO,MO,BMY,WFC,HBAN
02.05.17,-0.002958497,0.008244668,-0.005523143,0.013642742,0.010148069,0.019925081,-0.018349178,-0.015401848,0.002063933,0.014098923,-0.053563449,-0.004174108,-0.02063537,-0.014221293,0.024254941,-0.003418803,0.008821695,0.024791882,0.000291964,-0.008649477,-0.016034924,0.005667765,0.014565266
03.05.17,0.00264416,-0.001026891,0.021791609,-0.006343446,0.003359933,-0.006141279,-0.042769636,-0.010401237,-0.002063933,-0.020202688,-0.050286481,-0.000597742,-0.068374889,-0.01020826,-0.042359346,0.01697832,0.017783225,-0.001987396,-0.002045878,0.001280813,0.002358228,0.005998415,-0.006872891
04.05.17,-0.025470972,0.000684666,-0.006402906,0.012646993,-0.004622854,0.004439176,0.018318563,0.016296606,0.010277524,-0.015424517,0.027297014,0.000896423,-0.005914651,0.014366267,0.052446516,-0.003372681,-0.000863181,0.005291013,0.00612512,0.008638454,-0.000724979,-0.001269375,-0.004608335
05.05.17,-0.013113693,-0.00514666,-0.022552788,-0.00089809,0.009224355,-0.014759159,-0.002478255,0.007320705,0.002042948,0.015424517,-0.004907981,-0.000896423,0.049596894,0.000259259,0.01628998,-0.00677968,-0.000123305,-0.001320099,-0.002912014,-0.002965463,-0.003815118,-0.001270989,0.004608335
08.05.17,-0.006030025,-0.00482758,0.001486471,0.002691768,0.000834395,0.004485057,0.003303055,-0.002190562,-0.006141311,-0.031090619,0.015863678,-0.002094859,0.00923151,-0.009115794,-0.01628998,0.010152362,0.000616656,0.026077072,-0.011438734,-0.005957438,0.006892846,-0.006562193,-0.009237932
09.05.17,-0.00566985,-0.007982044,0.003213079,-0.010810906,0.007064234,0.0335114,0.013104188,0.015234247,-0.004115228,-0.038084506,0.012033771,-0.010540748,0.003191065,0.005999745,0.034084027,0.013378113,-0.001974773,0.013423023,-0.004730933,0.000284447,-0.003259107,0.000731278,-0.002322935
10.05.17,-0.003974872,0.005905876,-0.01029341,-0.002721066,-0.003318125,0.012899117,0.022527077,0.016423042,-0.004132233,0.027502407,-0.003594939,0.000302774,-0.027045041,-0.000260167,0.000881466,0.021364841,0.01641988,-0.002542911,-0.003265569,0.002415028,0,-0.018071661,-0.008563669
11.05.17,-0.001860334,-0.021001833,-0.000374026,-0.008207994,-0.002912409,-0.030360959,0.019693466,0.007057219,-0.00414938,-0.037944961,-0.008438832,-0.000908481,0.007744022,0.001299963,-0.006186555,0.017728124,-0.025479866,-0.011523835,-0.005366748,0.002409101,-0.001996926,-0.013488425,-0.002348317
12.05.17,0.007552702,-0.00318866,0.00137081,0.001829781,0.002496858,-0.012956235,0.005445305,-0.001407492,-0.006256482,0.021858838,0.029817354,0.003326802,0.007281598,0.002594669,0.003539823,0.011120002,0.003236275,0.036666615,0.02305063,0.000282998,0.00127122,0.00564228,0.014780478
15.05.17,0.014220878,-0.004980428,-0.016448424,0,-0.002913621,-0.0110422,0.005415924,0.006318038,0.002089813,0,0.030094889,-0.015825056,-0.001613514,-0.010419514,-0.015131582,0.004728174,-0.016918737,0.008652674,0.002042893,0.003954232,-0.012969386,-0.001125941,0.00692578
16.05.17,-0.018056366,-0.022724113,-0.010819153,-0.016590183,-0.06101549,-0.007662849,-0.033741945,-0.002101558,-0.012605197,-0.005420062,-0.026575855,-0.01141456,-0.008921439,-0.019299993,-0.02911941,-0.020652062,-0.035899652,-0.062857868,-0.014092997,-0.005653639,0.000367655,-0.019337032,-0.059235633
17.05.17,-0.000994292,0.002550513,0.00204556,0.0027842,0.007503901,0.016987747,-0.203779175,-0.027009468,0.027113259,-0.002721087,-0.065319462,-0.000310266,0.001628039,0.012995851,-0.002773902,-0.124628244,0.003792105,0.016249951,-0.074881614,-0.000141784,-0.01164633,0.002676342,0.016942724
18.05.17,0.007927092,0.020530154,-0.006406172,0.007386915,0.013540258,0.004801086,0.062579663,-0.002886002,0.010235445,0.003264379,0.051168296,0.007421118,0.011322429,0.007612608,0.047024894,0.028675773,-0.003923152,0.031728549,-0.005432194,0.005090517,0.004452729,0.012898515,0.005584354
19.05.17,0.004333299,0.004623875,-0.010595779,0.020938452,-0.000433861,0.001709149,-0.030800418,0.015059448,0.006091432,0.02626794,0.008279136,-0.010529678,0.003211561,0.000261428,-0.003539823,-0.005314403,0.000261976,0.011180259,0.012102093,0.015951078,0.001479801,-0.000942831,0.005553418
22.05.17,-0.004004342,0.003542383,0.013034894,-0.004514697,0.015076679,-0.00547946,0.021566685,-0.036235848,0.006054455,-0.016000326,0.016355545,0.000622485,0.009573259,0.001567434,-0.008904727,0.022828052,0.012108739,0.010445568,0.005367024,0.001248475,0.002031219,0.007142908,0.019585428
23.05.17,0.00315227,-0.016040309,-0.000384723,-0.00817816,-0.00128337,0.00034329,0.011070279,0.010279047,0.027779632,0,-0.01989534,-0.002804182,-0.009172605,-0.004185197,-0.01987421,-0.003478344,-0.01106132,0.025348373,-0.008537616,0.009932503,-0.007220237,-0.005634862,-0.005445416
24.05.17,0.004514106,-0.012292285,0.004862419,-0.009166002,-0.004720052,0.003769085,-0.026023815,-0.010279047,0.001954986,0,0.001181362,0.00342628,-0.001202597,0.002094738,-0.030572082,-0.003490402,-0.006169229,0.009489979,-0.001589043,0.017552678,0.010535163,-0.005856282,0.003892585
25.05.17,-0.004645181,-0.00145614,-0.003708595,0.006425047,-0.00043021,0.007156309,0.028772325,0.01246808,0.032663822,0,0.00705879,-0.000622098,-0.005228287,-0.002881485,0.011225551,0.008703309,0.009043937,0.04219057,0.001906561,0.003635201,-0.007751943,-0.007034898,-0.000777321
26.05.17,-0.004996459,-0.00328407,0.003836263,0.013630344,-0.014301432,0.010471282,0.001828152,-0.00804985,-0.011406957,-0.01735405,0.026606601,-0.000311135,0.007231864,0.011217029,-0.067333101,-0.008703309,0.001694769,-0.017123662,0.005698031,0.008830617,-0.000741444,-0.004781495,-0.00937506
30.05.17,0.005914127,0.000730766,0.015451184,0.003603604,-0.022066209,0.000671833,-0.003659653,-0.001470552,0.003816795,-0.056257749,-0.04554206,0.016054696,-0.001201634,-0.000518953,-0.033387008,-0.001749738,0.000781318,-0.007512377,-0.004746081,0.004916663,0.000370791,-0.019748957,-0.0158231
31.05.17,0.000261993,0.012341365,0.005264467,0.025744872,0.009769142,0.015659134,-0.011987289,0.005137604,0.03922072,-0.004640389,-0.021740024,0.001835911,0.036210176,0.00878559,0.010235445,-0.008795165,0.01882468,0.030842017,0.009155518,-0.000530375,0.010693281,0.018214075,0.014252047
01.06.17,-0.004069283,0.005755362,0.001748681,-0.005272373,-0.007985774,-0.003974859,0.009233733,-0.014749516,0.005479417,-0.042155234,0.002439081,-0.005210684,0,0,-0.012295225,0.001765266,0.00966071,-0.010743701,0.00501568,-0.003720424,0.008036618,-0.005197826,-0.011067334
02.06.17,0.002364848,0.003580433,-0.009781854,-0.008849649,-0.001783367,-0.00132843,-0.013882738,-0.004467649,-0.020239818,-0.04909342,-0.014724178,-0.005856156,-0.000773413,-0.001544737,-0.00516799,0.008779638,-0.003294505,-0.003416829,-0.00690305,-0.00079911,-0.048644651,-0.00173863,-0.000795247
05.06.17,-0.00026254,-0.001788578,-0.00328203,-0.01162285,-0.008064574,-0.009349006,0.020295946,0.048079238,-0.016870157,-0.051628579,0.006161472,-0.00869297,-0.000386931,-0.002063499,0.021528258,0.008703309,-0.011360124,0.015846329,-0.006317165,0.002793843,-0.013459168,0.00173863,-0.009592391
06.06.17,-0.009164392,-0.008991265,0.00378601,-0.004506559,0.016507216,-0.003360231,0.016304693,-0.005706212,0.005655097,0.063028327,-0.004926113,-0.002185101,-0.001936829,0.000774262,-0.087933796,-0.013961819,0.003332082,-0.005066161,0.001583066,0.004506953,0.017461824,0.005389787,0.019093641
07.06.17,0.00739089,-0.003256737,0.008903427,0.002706424,0.016239064,0.016358291,-0.00721373,-0.020962095,0.014925636,0.074017993,0.020770456,-0.007843177,0.007340138,-0.006730502,-0.013378114,-0.010600796,0.003448457,0.006749229,0,-0.005304369,0.005312074,0.008982406,0.017962256
08.06.17,0.013063543,0.01260596,0.011667036,0.002699033,0.03001944,0.019023201,-0.019187479,-0.019174575,-0.037740382,-0.025467756,0.004825095,0.031620751,0.004991412,0.007504264,0.052471105,-0.028830884,0.016188526,-0.033051437,-0.007621497,0.003318514,0.016885984,0.023318053,0.028235366
09.06.17,0.006983904,0.035165362,-0.001729028,0.013387047,0.004636493,-0.024668246,-0.008337234,0.005198652,0,-0.00843382,-0.021898722,-0.002138375,0.018592824,0.007192396,0.006369392,-0.007339476,-0.00037642,0.010947993,-0.003832673,-0.000795407,0.011284934,0.005375876,0.006001513
12.06.17,-0.006011023,-0.017076539,0.004316978,-0.000886854,-0.00042062,0.009610646,0.01018055,0.010316992,0.007662866,-0.024495996,-0.016119396,-0.003676442,0.023775243,-0.010032223,0.028170925,0.016438755,0.002131238,0.016482272,0.014297329,-0.005986111,-0.003132236,0.006633535,-0.001496969
13.06.17,-0.002856604,0.008400432,0.004298422,-0.004446445,-0.000420797,-0.001320099,0.014625541,-0.032789862,-0.015384905,-0.001861633,-0.006269637,0.003370519,0.002566443,0.001033615,-0.044171225,-0.003629765,0.011827148,-0.011337925,-0.003159572,0.010617261,0.006071251,0.001468123,0.004484272
14.06.17,0.002662104,0.008676107,0.005499611,0.0017809,-0.009302363,-0.20936837,-0.011866855,-0.008368224,0.003868473,-0.045751325,-0.013933051,0.00366421,-0.01326959,0.003094353,-0.054126933,-0.009132519,-0.008826047,-0.007439294,-0.000633126,0.008675181,-0.004411803,-0.01162048,-0.008988816
15.06.17,0.007493599,0.002071082,-0.002074127,-0.0017809,-0.004683875,-0.096980893,0.002751031,0.002289183,0,0.033251174,0.005089065,0.004864705,-0.046714453,0.003084808,-0.00227278,-0.020389892,-0.038566649,-0.004605646,0.001582004,0.011321549,0.003310658,-0.000185586,-0.005281015
16.06.17,-0.003481459,-0.006920401,0.005602245,0.0017809,0.02027951,0.015580038,0.006389792,-0.005349626,0.011516432,0.029741955,0.018856576,0.007554047,-0.014095719,-0.001284172,-0.00684939,0.01117329,0.01340573,0.006900593,0.011317336,0.005548763,0.013858758,0.006473754,0.007535788
19.06.17,0.000710162,-0.023538802,0.004967042,-0.010733546,-0.017721986,-0.011550561,-0.035188848,0,-0.011516432,-0.01104984,-0.032914333,0.010182782,-0.026369879,-0.006445813,-0.038533657,-0.003710576,-0.004105724,0.004003419,-0.004385953,-0.004901935,0.007936525,-0.014484981,-0.006779699
